date,pe,yoy
2025-12-29,27.940,-3.20%
2025-12-26,28.038,-3.93%
2025-12-24,28.047,-3.94%
2025-12-23,27.957,-3.19%
2025-12-22,27.830,-2.93%
2025-12-19,27.652,-2.50%
2025-12-18,27.410,-3.44%
2025-12-17,27.195,-7.02%
2025-12-16,27.514,-6.29%
2025-12-15,27.579,-5.72%
2025-12-12,27.623,-5.57%
2025-12-11,27.921,-5.07%
2025-12-10,27.863,-4.49%
2025-12-09,27.676,-5.41%
2025-12-08,27.701,-5.91%
2025-12-05,27.797,-5.35%
2025-12-04,27.744,-5.70%
2025-12-03,27.714,-5.24%
2025-12-02,27.631,-5.48%
2025-12-01,27.564,-6.98%
2025-11-28,28.396,-3.64%
2025-11-26,28.245,-4.51%
2025-11-25,28.051,-4.63%
2025-11-24,27.799,-5.20%
2025-11-21,27.376,-6.32%
2025-11-20,27.109,-6.74%
2025-11-19,27.538,-5.26%
2025-11-18,27.435,-5.24%
2025-11-17,27.663,-4.07%
2025-11-14,27.919,-4.47%
2025-11-13,27.933,-5.00%
2025-11-12,28.403,-3.37%
2025-11-11,28.386,-3.71%
2025-11-10,28.327,-3.82%
2025-11-07,27.897,-4.92%
2025-11-06,27.862,-4.34%
2025-11-05,28.177,-0.81%
2025-11-04,28.074,+0.04%
2025-11-03,28.408,+0.95%
2025-10-31,28.359,+1.18%
2025-10-30,29.000,-0.10%
2025-10-29,29.290,+0.57%
2025-10-28,29.292,+0.74%
2025-10-27,29.225,+0.77%
2025-10-24,28.870,-0.48%
2025-10-23,28.644,-1.05%
2025-10-22,28.478,-2.53%
2025-10-21,28.631,-2.05%
2025-10-20,28.630,-2.23%
2025-10-17,28.327,-2.88%
2025-10-16,28.179,-3.41%
2025-10-15,28.357,-2.34%
2025-10-14,28.244,-3.47%
2025-10-13,28.288,-2.58%
2025-10-10,27.853,-3.49%
2025-10-09,28.630,-1.01%
2025-10-08,28.709,-0.03%
2025-10-07,28.542,+0.36%
2025-10-06,28.652,-0.23%
2025-10-03,28.547,+0.30%
2025-10-02,28.546,+0.13%
2025-10-01,28.528,+0.08%
2025-09-30,28.431,-1.19%
2025-09-29,28.835,+0.05%
2025-09-26,28.759,-0.34%
2025-09-25,28.591,-0.52%
2025-09-24,28.735,-0.20%
2025-09-23,28.817,+0.33%
2025-09-22,28.976,+1.17%
2025-09-19,28.849,+0.53%
2025-09-18,28.709,+1.74%
2025-09-17,28.572,+0.96%
2025-09-16,28.599,+1.08%
2025-09-15,28.636,+1.34%
2025-09-12,28.502,+1.41%
2025-09-11,28.516,+2.22%
2025-09-10,28.276,+2.44%
2025-09-09,28.192,+2.59%
2025-09-08,28.116,+3.50%
2025-09-05,28.057,+1.51%
2025-09-04,28.146,+1.52%
2025-09-03,27.913,+0.51%
2025-09-02,27.772,-2.68%
2025-08-29,28.488,+0.84%
2025-08-28,28.672,+1.48%
2025-08-27,28.581,+0.56%
2025-08-26,28.513,+0.48%
2025-08-25,28.396,-0.25%
2025-08-22,28.517,+1.33%
2025-08-21,28.091,-1.08%
2025-08-20,28.204,-0.26%
2025-08-19,28.273,-0.22%
2025-08-18,28.439,+1.34%
2025-08-15,28.442,+1.56%
2025-08-14,28.525,+3.50%
2025-08-13,28.516,+3.86%
2025-08-12,28.424,+5.27%
2025-08-11,28.105,+4.09%
2025-08-08,28.176,+4.84%
2025-08-07,27.958,+6.43%
2025-08-06,27.980,+5.69%
2025-08-05,27.778,+6.01%
2025-08-04,27.913,+3.34%
2025-08-01,27.508,-0.04%
2025-07-31,27.955,+0.20%
2025-07-30,28.593,+3.49%
2025-07-29,28.629,+3.10%
2025-07-28,28.714,+3.49%
2025-07-25,28.709,+4.62%
2025-07-24,28.595,+3.67%
2025-07-23,28.576,+1.20%
2025-07-22,28.354,+0.26%
2025-07-21,28.336,+1.28%
2025-07-18,28.296,+0.42%
2025-07-17,28.299,-0.36%
2025-07-16,28.148,-2.27%
2025-07-15,28.058,-1.96%
2025-07-14,28.170,-1.29%
2025-07-11,28.130,-0.89%
2025-07-10,28.223,-1.43%
2025-07-09,28.146,-0.70%
2025-07-08,27.976,-1.23%
2025-07-07,27.996,-1.05%
2025-07-03,28.218,+0.27%
2025-07-02,27.985,-0.05%
2025-07-01,27.852,+0.09%
2025-06-30,27.884,-0.44%
2025-06-27,27.986,-0.48%
2025-06-26,27.840,-0.91%
2025-06-25,27.619,-1.54%
2025-06-24,27.619,-1.16%
2025-06-23,27.315,-2.54%
2025-06-20,27.055,-3.62%
2025-06-18,27.114,-3.66%
2025-06-17,27.123,-3.38%
2025-06-16,27.351,-1.82%
2025-06-13,27.097,-2.77%
2025-06-12,27.406,-1.43%
2025-06-11,27.302,-0.97%
2025-06-10,27.377,-0.43%
2025-06-09,27.228,-0.72%
2025-06-06,27.203,-0.92%
2025-06-05,26.926,-1.95%
2025-06-04,27.069,-0.26%
2025-06-03,27.067,-0.12%
2025-06-02,26.911,-0.58%
2025-05-30,27.038,-0.24%
2025-05-29,27.041,-0.82%
2025-05-28,26.933,-1.94%
2025-05-27,27.084,-1.37%
2025-05-23,26.541,-2.67%
2025-05-22,26.720,-2.74%
2025-05-21,26.732,-2.96%
2025-05-20,27.170,-1.12%
2025-05-19,27.276,-0.64%
2025-05-16,27.252,-0.62%
2025-05-15,27.062,-1.51%
2025-05-14,26.951,-0.77%
2025-05-13,26.923,-0.39%
2025-05-12,26.730,-1.13%
2025-05-09,25.887,-4.09%
2025-05-08,25.905,-3.53%
2025-05-07,25.756,-4.09%
2025-05-06,25.644,-4.38%
2025-05-05,25.843,-2.64%
2025-05-02,26.009,-0.79%
2025-05-01,25.632,-1.33%
2025-04-30,25.471,-2.29%
2025-04-29,25.663,-4.00%
2025-04-28,25.515,-4.25%
2025-04-25,25.498,-3.34%
2025-04-24,25.312,-4.48%
2025-04-23,24.809,-6.36%
2025-04-22,24.402,-6.79%
2025-04-21,23.805,-8.28%
2025-04-17,24.379,-7.10%
2025-04-16,24.347,-7.75%
2025-04-15,24.905,-5.83%
2025-04-14,24.948,-6.80%
2025-04-11,24.751,-8.89%
2025-04-10,24.311,-9.84%
2025-04-09,25.183,-7.49%
2025-04-08,22.995,-15.40%
2025-04-07,23.362,-14.09%
2025-04-04,23.416,-12.93%
2025-04-03,24.904,-8.54%
2025-04-02,26.171,-3.78%
2025-04-01,25.996,-5.12%
2025-03-31,25.898,-5.50%
2025-03-28,26.016,-5.06%
2025-03-27,26.540,-3.04%
2025-03-26,26.628,-1.88%
2025-03-25,26.928,-1.05%
2025-03-24,26.886,-1.51%
2025-03-21,26.420,-3.35%
2025-03-20,26.398,-3.12%
2025-03-19,26.456,-2.04%
2025-03-18,26.173,-2.54%
2025-03-17,26.455,-0.87%
2025-03-14,26.286,-2.14%
2025-03-13,25.739,-4.45%
2025-03-12,26.102,-3.29%
2025-03-11,25.975,-2.69%
2025-03-10,26.173,-2.05%
2025-03-07,26.898,0%
2025-03-06,26.751,+0.48%
2025-03-05,27.236,+2.83%
2025-03-04,26.935,+0.65%
2025-03-03,27.269,+1.78%
2025-02-28,27.757,+5.16%
2025-02-27,27.605,+4.41%
2025-02-26,28.050,+6.28%
2025-02-25,28.046,+5.86%
2025-02-24,28.178,+6.36%
2025-02-21,28.318,+9.18%
2025-02-20,28.810,+11.22%
2025-02-19,28.935,+11.03%
2025-02-18,28.867,+10.77%
2025-02-14,28.796,+10.61%
2025-02-13,28.798,+11.68%
2025-02-12,28.501,+9.01%
2025-02-11,28.579,+9.21%
2025-02-10,28.569,+9.17%
2025-02-07,28.379,+9.13%
2025-02-06,28.650,+11.08%
2025-02-05,28.546,+10.93%
2025-02-04,28.435,+10.15%
2025-02-03,28.231,+9.36%
2025-01-31,28.447,+12.76%
2025-01-30,28.887,+12.87%
2025-01-29,28.735,+12.21%
2025-01-28,28.870,+13.59%
2025-01-27,28.607,+12.55%
2025-01-24,29.030,+14.74%
2025-01-23,29.113,+15.16%
2025-01-22,28.959,+14.89%
2025-01-21,28.783,+14.44%
2025-01-17,28.532,+15.85%
2025-01-16,28.250,+14.06%
2025-01-15,28.310,+13.88%
2025-01-14,27.801,+11.83%
2025-01-13,27.769,+11.70%
2025-01-10,27.725,+11.53%
2025-01-08,28.159,+13.75%
2025-01-07,28.115,+15.18%
2025-01-06,28.431,+16.47%
2025-01-03,28.275,+15.65%
2025-01-02,27.923,+13.29%
2024-12-31,27.985,+11.30%
2024-12-30,28.554,+13.56%
2024-12-27,28.863,+14.51%
2024-12-26,29.185,+15.95%
2024-12-24,29.197,+16.49%
2024-12-23,28.878,+15.22%
2024-12-20,28.669,+15.75%
2024-12-19,28.361,+12.83%
2024-12-18,28.386,+13.59%
2024-12-17,29.248,+17.57%
2024-12-16,29.362,+18.03%
2024-12-13,29.251,+17.89%
2024-12-12,29.251,+19.49%
2024-12-11,29.411,+20.70%
2024-12-10,29.172,+20.19%
2024-12-09,29.259,+20.55%
2024-12-06,29.440,+22.76%
2024-12-05,29.367,+21.98%
2024-12-04,29.422,+22.13%
2024-12-03,29.245,+20.74%
2024-12-02,29.232,+20.69%
2024-11-29,29.633,+21.76%
2024-11-27,29.468,+21.09%
2024-11-26,29.580,+21.31%
2024-11-25,29.412,+20.62%
2024-11-22,29.323,+20.32%
2024-11-21,29.222,+20.40%
2024-11-20,29.067,+19.52%
2024-11-19,29.066,+20.40%
2024-11-18,28.951,+19.92%
2024-11-15,28.838,+19.75%
2024-11-14,29.224,+21.54%
2024-11-13,29.402,+24.62%
2024-11-12,29.395,+24.49%
2024-11-11,29.481,+24.85%
2024-11-08,29.452,+25.65%
2024-11-07,29.342,+25.31%
2024-11-06,29.125,+24.73%
2024-11-05,28.407,+21.87%
2024-11-04,28.063,+20.40%
2024-11-01,28.142,+24.17%
2024-10-31,28.027,+24.96%
2024-10-30,29.029,+28.36%
2024-10-29,29.125,+30.33%
2024-10-28,29.078,+30.12%
2024-10-25,29.001,+27.63%
2024-10-24,29.010,+25.83%
2024-10-23,28.948,+26.48%
2024-10-22,29.217,+27.44%
2024-10-21,29.230,+27.50%
2024-10-18,29.284,+25.05%
2024-10-17,29.168,+22.89%
2024-10-16,29.173,+22.90%
2024-10-15,29.037,+23.62%
2024-10-14,29.260,+24.57%
2024-10-11,29.036,+22.23%
2024-10-10,28.861,+22.01%
2024-10-09,28.921,+22.91%
2024-10-08,28.717,+22.81%
2024-10-07,28.441,+21.63%
2024-10-04,28.717,+24.10%
2024-10-03,28.461,+23.99%
2024-10-02,28.509,+22.49%
2024-10-01,28.505,+21.76%
2024-09-30,28.774,+22.91%
2024-09-27,28.821,+23.50%
2024-09-26,28.857,+23.69%
2024-09-25,28.741,+21.37%
2024-09-24,28.794,+22.09%
2024-09-23,28.722,+21.78%
2024-09-20,28.642,+19.18%
2024-09-19,28.697,+18.28%
2024-09-18,28.218,+16.06%
2024-09-17,28.300,+16.48%
2024-09-16,28.293,+16.45%
2024-09-13,28.257,+15.85%
2024-09-12,28.105,+15.38%
2024-09-11,27.896,+13.87%
2024-09-10,27.602,+13.43%
2024-09-09,27.479,+12.92%
2024-09-06,27.164,+11.42%
2024-09-05,27.641,+12.59%
2024-09-04,27.725,+12.46%
2024-09-03,27.770,+12.64%
2024-08-30,28.537,+15.09%
2024-08-29,28.252,+14.38%
2024-08-28,28.253,+16.04%
2024-08-27,28.423,+17.47%
2024-08-26,28.378,+17.29%
2024-08-23,28.468,+16.85%
2024-08-22,28.144,+16.80%
2024-08-21,28.398,+17.53%
2024-08-20,28.278,+17.83%
2024-08-19,28.335,+18.07%
2024-08-16,28.062,+16.02%
2024-08-15,28.006,+14.91%
2024-08-14,27.561,+11.78%
2024-08-13,27.456,+11.99%
2024-08-12,27.001,+10.14%
2024-08-09,27.000,+10.04%
2024-08-08,26.875,+8.76%
2024-08-07,26.269,+5.86%
2024-08-06,26.474,+7.65%
2024-08-05,26.203,+6.55%
2024-08-02,27.012,+8.98%
2024-08-01,27.518,+9.49%
2024-07-31,27.900,+10.71%
2024-07-30,27.630,+9.14%
2024-07-29,27.768,+9.69%
2024-07-26,27.745,+9.97%
2024-07-25,27.441,+8.75%
2024-07-24,27.582,+9.62%
2024-07-23,28.236,+12.67%
2024-07-22,28.280,+12.84%
2024-07-19,27.978,+10.92%
2024-07-18,28.179,+11.98%
2024-07-17,28.401,+13.67%
2024-07-16,28.803,+15.72%
2024-07-15,28.620,+14.99%
2024-07-12,28.539,+15.51%
2024-07-11,28.382,+15.73%
2024-07-10,28.633,+17.54%
2024-07-09,28.344,+16.63%
2024-07-08,28.323,+16.55%
2024-07-05,28.294,+15.17%
2024-07-03,28.141,+14.32%
2024-07-02,27.999,+13.88%
2024-07-01,27.826,+13.18%
2024-06-28,28.007,+14.58%
2024-06-27,28.122,+15.01%
2024-06-26,28.096,+16.22%
2024-06-25,28.052,+15.52%
2024-06-24,27.942,+15.06%
2024-06-21,28.028,+14.96%
2024-06-20,28.072,+14.53%
2024-06-18,28.143,+14.28%
2024-06-17,28.072,+13.99%
2024-06-14,27.859,+14.08%
2024-06-13,27.870,+14.22%
2024-06-12,27.804,+14.74%
2024-06-11,27.570,+14.84%
2024-06-10,27.495,+14.52%
2024-06-07,27.425,+15.07%
2024-06-06,27.455,+14.76%
2024-06-05,27.461,+15.05%
2024-06-04,27.139,+13.48%
2024-06-03,27.099,+13.31%
2024-05-31,27.068,+15.96%
2024-05-30,27.102,+14.14%
2024-05-29,27.264,+14.82%
2024-05-28,27.467,+15.68%
2024-05-24,27.460,+18.19%
2024-05-23,27.269,+16.51%
2024-05-22,27.472,+16.06%
2024-05-21,27.546,+16.39%
2024-05-20,27.478,+16.10%
2024-05-17,27.452,+16.92%
2024-05-16,27.421,+18.17%
2024-05-15,27.478,+17.66%
2024-05-14,27.160,+16.65%
2024-05-13,27.029,+16.08%
2024-05-10,27.035,+15.73%
2024-05-09,26.991,+16.06%
2024-05-08,26.854,+14.94%
2024-05-07,26.854,+14.99%
2024-05-06,26.818,+14.84%
2024-05-03,26.544,+14.93%
2024-05-02,26.215,+12.71%
2024-05-01,25.978,+10.40%
2024-04-30,26.067,+9.52%
2024-04-29,26.732,+12.31%
2024-04-26,26.647,+15.08%
2024-04-25,26.378,+13.48%
2024-04-24,26.499,+12.20%
2024-04-23,26.493,+12.27%
2024-04-22,26.180,+10.95%
2024-04-19,25.953,+9.43%
2024-04-18,26.183,+10.39%
2024-04-17,26.241,+10.73%
2024-04-16,26.393,+11.74%
2024-04-15,26.448,+11.97%
2024-04-12,26.769,+14.59%
2024-04-11,27.165,+15.81%
2024-04-10,26.964,+14.95%
2024-04-09,27.221,+16.16%
2024-04-08,27.182,+15.99%
2024-04-05,27.192,+16.45%
2024-04-04,26.894,+14.89%
2024-04-03,27.230,+15.65%
2024-04-02,27.200,+15.95%
2024-04-01,27.398,+16.79%
2024-03-28,27.404,+20.32%
2024-03-27,27.373,+19.99%
2024-03-26,27.139,+19.16%
2024-03-25,27.215,+19.50%
2024-03-22,27.298,+20.89%
2024-03-21,27.337,+19.07%
2024-03-20,27.248,+20.23%
2024-03-19,27.008,+20.23%
2024-03-18,26.856,+19.56%
2024-03-15,26.688,+19.56%
2024-03-14,26.862,+19.50%
2024-03-13,26.939,+21.82%
2024-03-12,26.991,+21.87%
2024-03-11,26.692,+20.52%
2024-03-08,26.722,+16.72%
2024-03-07,26.898,+17.65%
2024-03-06,26.623,+14.66%
2024-03-05,26.487,+14.15%
2024-03-04,26.760,+15.33%
2024-03-01,26.792,+18.22%
2024-02-29,26.579,+17.28%
2024-02-28,26.394,+15.92%
2024-02-27,26.438,+15.23%
2024-02-26,26.393,+15.38%
2024-02-23,26.493,+14.60%
2024-02-22,26.484,+15.17%
2024-02-21,25.936,+12.61%
2024-02-20,25.903,+10.22%
2024-02-16,26.060,+10.57%
2024-02-15,26.186,+9.58%
2024-02-14,26.034,+9.24%
2024-02-13,25.787,+8.18%
2024-02-12,26.145,+10.93%
2024-02-09,26.169,+11.28%
2024-02-08,26.020,+9.67%
2024-02-07,26.005,+8.39%
2024-02-06,25.793,+8.89%
2024-02-05,25.733,+7.97%
2024-02-02,25.815,+7.19%
2024-02-01,25.542,+7.62%
2024-01-31,25.227,+7.40%
2024-01-30,25.594,+10.04%
2024-01-29,25.609,+8.68%
2024-01-26,25.417,+8.13%
2024-01-25,25.433,+9.39%
2024-01-24,25.300,+8.80%
2024-01-23,25.280,+8.64%
2024-01-22,25.206,+9.61%
2024-01-19,25.151,+11.44%
2024-01-18,24.845,+9.24%
2024-01-17,24.628,+6.60%
2024-01-16,24.767,+6.98%
2024-01-12,24.860,+7.82%
2024-01-11,24.841,+8.10%
2024-01-10,24.858,+9.57%
2024-01-09,24.718,+9.71%
2024-01-08,24.755,+9.79%
2024-01-05,24.410,+10.73%
2024-01-04,24.366,+9.24%
2024-01-03,24.449,+10.44%
2024-01-02,24.647,+14.00%
2023-12-29,25.144,+16.00%
2023-12-28,25.215,+18.36%
2023-12-27,25.206,+16.89%
2023-12-26,25.170,+16.25%
2023-12-22,25.064,+16.44%
2023-12-21,25.022,+14.56%
2023-12-20,24.767,+15.08%
2023-12-19,25.136,+16.92%
2023-12-18,24.990,+15.19%
2023-12-15,24.877,+13.40%
2023-12-14,24.879,+10.58%
2023-12-13,24.813,+9.62%
2023-12-12,24.479,+8.93%
2023-12-11,24.367,+9.98%
2023-12-08,24.272,+8.75%
2023-12-07,24.173,+9.12%
2023-12-06,23.982,+8.06%
2023-12-05,24.076,+6.91%
2023-12-04,24.090,+5.06%
2023-12-01,24.221,+5.51%
2023-11-30,24.079,+4.80%
2023-11-29,24.337,+12.16%
2023-11-28,24.360,+12.09%
2023-11-27,24.336,+10.25%
2023-11-24,24.384,+10.44%
2023-11-22,24.370,+11.03%
2023-11-21,24.271,+12.08%
2023-11-20,24.320,+11.87%
2023-11-17,24.142,+11.58%
2023-11-16,24.111,+11.09%
2023-11-15,24.082,+10.04%
2023-11-14,24.044,+10.83%
2023-11-13,23.594,+7.78%
2023-11-10,23.613,+8.86%
2023-11-09,23.250,+13.13%
2023-11-08,23.440,+11.69%
2023-11-07,23.416,+12.19%
2023-11-06,23.350,+12.95%
2023-11-03,23.309,+14.29%
2023-11-02,23.092,+12.03%
2023-11-01,22.665,+7.21%
2023-10-31,22.429,+5.66%
2023-10-30,22.615,+8.54%
2023-10-27,22.347,+9.89%
2023-10-26,22.454,+9.75%
2023-10-25,22.723,+10.24%
2023-10-24,23.054,+13.67%
2023-10-23,22.888,+14.19%
2023-10-20,22.926,+17.09%
2023-10-19,23.218,+17.64%
2023-10-18,23.417,+17.86%
2023-10-17,23.735,+20.83%
2023-10-16,23.737,+24.04%
2023-10-13,23.489,+19.84%
2023-10-12,23.607,+23.56%
2023-10-11,23.755,+23.93%
2023-10-10,23.654,+22.60%
2023-10-09,23.531,+21.04%
2023-10-06,23.384,+16.92%
2023-10-05,23.111,+14.37%
2023-10-04,23.141,+14.29%
2023-10-03,22.955,+16.84%
2023-10-02,23.275,+13.93%
2023-09-29,23.410,+21.48%
2023-09-28,23.474,+19.24%
2023-09-27,23.336,+20.87%
2023-09-26,23.331,+20.59%
2023-09-25,23.680,+21.13%
2023-09-22,23.585,+18.56%
2023-09-21,23.639,+17.83%
2023-09-20,24.033,+17.75%
2023-09-19,24.261,+17.52%
2023-09-18,24.314,+18.58%
2023-09-15,24.296,+17.64%
2023-09-14,24.595,+17.75%
2023-09-13,24.390,+17.16%
2023-09-12,24.359,+11.95%
2023-09-11,24.499,+13.78%
2023-09-08,24.335,+14.75%
2023-09-07,24.301,+15.35%
2023-09-06,24.379,+17.84%
2023-09-05,24.550,+18.18%
2023-09-01,24.653,+17.40%
2023-08-31,24.609,+17.54%
2023-08-30,24.795,+18.55%
2023-08-29,24.700,+16.79%
2023-08-28,24.347,+14.35%
2023-08-25,24.195,+9.81%
2023-08-24,24.034,+10.62%
2023-08-23,24.362,+12.45%
2023-08-22,24.096,+10.97%
2023-08-21,24.163,+8.91%
2023-08-18,23.998,+6.77%
2023-08-17,24.001,+7.02%
2023-08-16,24.188,+7.07%
2023-08-15,24.372,+8.09%
2023-08-14,24.657,+9.79%
2023-08-11,24.516,+11.05%
2023-08-10,24.542,+11.09%
2023-08-09,24.536,+13.43%
2023-08-08,24.710,+13.75%
2023-08-07,24.814,+14.09%
2023-08-04,24.592,+12.88%
2023-08-03,24.723,+13.39%
2023-08-02,24.787,+15.47%
2023-08-01,25.134,+16.30%
2023-07-31,25.202,+17.31%
2023-07-28,25.315,+19.51%
2023-07-27,25.067,+19.78%
2023-07-26,25.229,+23.70%
2023-07-25,25.233,+22.29%
2023-07-24,25.162,+22.11%
2023-07-21,25.061,+20.49%
2023-07-20,25.053,+21.63%
2023-07-19,25.224,+23.19%
2023-07-18,25.164,+26.29%
2023-07-17,24.986,+24.35%
2023-07-14,24.890,+26.25%
2023-07-13,24.916,+26.00%
2023-07-12,24.707,+24.39%
2023-07-11,24.525,+22.33%
2023-07-10,24.361,+20.11%
2023-07-07,24.302,+19.72%
2023-07-06,24.372,+21.87%
2023-07-05,24.567,+23.28%
2023-07-03,24.615,+23.71%
2023-06-30,24.586,+24.87%
2023-06-29,24.553,+24.82%
2023-06-28,24.444,+24.18%
2023-06-27,24.452,+21.72%
2023-06-26,24.175,+19.98%
2023-06-23,24.284,+24.20%
2023-06-22,24.472,+26.36%
2023-06-21,24.381,+25.73%
2023-06-20,24.510,+29.48%
2023-06-19,24.626,+30.10%
2023-06-18,24.626,+30.10%
2023-06-16,24.626,+30.39%
2023-06-15,24.717,+26.61%
2023-06-14,24.420,+26.92%
2023-06-13,24.400,+26.33%
2023-06-12,24.232,+20.60%
2023-06-11,24.008,+19.48%
2023-06-09,24.008,+16.01%
2023-06-08,23.980,+13.11%
2023-06-07,23.833,+11.21%
2023-06-06,23.924,+12.69%
2023-06-05,23.868,+12.78%
2023-06-04,23.916,+13.01%
2023-06-02,23.916,+11.16%
2023-06-01,23.573,+11.59%
2023-05-31,23.343,+9.67%
2023-05-30,23.744,+11.94%
2023-05-29,23.744,+11.94%
2023-05-28,23.744,+11.94%
2023-05-26,23.744,+14.71%
2023-05-25,23.438,+15.48%
2023-05-24,23.234,+15.55%
2023-05-23,23.405,+15.46%
2023-05-22,23.671,+18.94%
2023-05-21,23.667,+18.92%
2023-05-19,23.667,+18.94%
2023-05-18,23.702,+18.42%
2023-05-17,23.480,+12.57%
2023-05-16,23.204,+13.49%
2023-05-15,23.353,+13.77%
2023-05-14,23.284,+13.43%
2023-05-12,23.284,+16.14%
2023-05-11,23.321,+16.18%
2023-05-10,23.361,+14.46%
2023-05-09,23.256,+14.22%
2023-05-08,23.363,+11.07%
2023-05-05,23.353,+10.40%
2023-05-04,22.929,+4.53%
2023-05-03,23.096,+8.43%
2023-05-02,23.259,+9.72%
2023-05-01,23.531,+13.08%
2023-04-28,23.802,+9.87%
2023-04-27,23.608,+11.67%
2023-04-26,23.155,+9.76%
2023-04-25,23.244,+7.08%
2023-04-24,23.617,+9.42%
2023-04-21,23.597,+6.29%
2023-04-20,23.576,+4.63%
2023-04-19,23.717,+5.19%
2023-04-18,23.719,+6.89%
2023-04-17,23.699,+6.78%
2023-04-14,23.621,+6.42%
2023-04-13,23.670,+5.35%
2023-04-12,23.360,+5.14%
2023-04-11,23.457,+5.21%
2023-04-10,23.458,+3.44%
2023-04-06,23.434,+3.50%
2023-04-05,23.351,+2.13%
2023-04-04,23.409,+1.10%
2023-04-03,23.546,+5.12%
2023-03-31,23.459,+2.48%
2023-03-30,23.233,-0.10%
2023-03-29,23.101,-1.29%
2023-03-28,22.776,-1.49%
2023-03-27,22.812,-0.63%
2023-03-24,22.775,-0.29%
2023-03-23,22.647,+0.57%
2023-03-22,22.580,-0.95%
2023-03-21,22.958,+1.84%
2023-03-20,22.663,+0.49%
2023-03-17,22.463,+0.77%
2023-03-16,22.713,+3.14%
2023-03-15,22.321,+3.64%
2023-03-14,22.478,+6.60%
2023-03-13,22.114,+4.09%
2023-03-10,22.147,+2.89%
2023-03-09,22.473,+3.96%
2023-03-08,22.895,+8.64%
2023-03-07,22.863,+7.70%
2023-03-06,23.219,+6.15%
2023-03-03,23.203,+5.23%
2023-03-02,22.834,+3.02%
2023-03-01,22.662,+2.13%
2023-02-28,22.770,+3.02%
2023-02-27,22.944,+3.55%
2023-02-24,22.874,+5.54%
