date,pe,yoy
2025-09-30,33.43,-5.00%
2025-09-29,33.13,-2.50%
2025-09-26,32.99,-3.43%
2025-09-25,32.84,-3.18%
2025-09-24,32.99,-2.60%
2025-09-23,33.09,-1.87%
2025-09-22,33.33,-0.83%
2025-09-19,33.15,-1.63%
2025-09-18,32.92,+0.21%
2025-09-17,32.61,-1.18%
2025-09-16,32.68,-0.94%
2025-09-15,32.70,-1.33%
2025-09-12,32.43,-1.70%
2025-09-11,32.30,-1.13%
2025-09-10,32.11,+0.41%
2025-09-09,32.09,+1.26%
2025-09-08,31.99,+2.24%
2025-09-05,31.84,-0.96%
2025-09-04,31.81,-1.03%
2025-09-03,31.52,-2.11%
2025-09-02,31.27,-5.93%
2025-08-29,31.52,-3.96%
2025-08-28,31.91,-2.89%
2025-08-27,31.72,-4.63%
2025-08-26,31.67,-4.46%
2025-08-25,31.54,-5.82%
2025-08-22,31.63,-4.44%
2025-08-21,31.15,-7.48%
2025-08-20,31.30,-6.54%
2025-08-19,31.48,-6.23%
2025-08-18,31.92,-3.65%
2025-08-15,31.92,-3.56%
2025-08-14,32.08,-0.71%
2025-08-13,32.11,-0.53%
2025-08-12,32.09,+1.91%
2025-08-11,31.67,+0.73%
2025-08-08,31.79,+1.66%
2025-08-07,31.49,+3.76%
2025-08-06,31.39,+2.25%
2025-08-05,30.99,+1.97%
2025-08-04,31.22,-0.32%
2025-08-01,30.64,-4.49%
2025-07-31,31.26,-4.93%
2025-07-30,31.43,-1.54%
2025-07-29,31.38,-3.06%
2025-07-28,31.44,-2.69%
2025-07-25,31.33,-2.03%
2025-07-24,31.26,-3.28%
2025-07-23,31.18,-7.06%
2025-07-22,31.05,-7.78%
2025-07-21,31.20,-5.91%
2025-07-18,31.05,-7.23%
2025-07-17,31.07,-7.61%
2025-07-16,30.84,-10.97%
2025-07-15,30.81,-11.01%
2025-07-14,30.77,-10.89%
2025-07-11,30.67,-10.66%
2025-07-10,30.73,-12.48%
2025-07-09,30.78,-11.40%
2025-07-08,30.56,-11.96%
2025-07-07,30.54,-11.81%
2025-07-03,30.78,-10.21%
2025-07-02,30.48,-10.33%
2025-07-01,30.26,-10.07%
2025-06-30,30.53,-9.38%
2025-06-27,35.61,+5.14%
2025-06-26,35.48,+4.97%
2025-06-25,35.15,+4.24%
2025-06-24,35.07,+5.22%
2025-06-23,34.54,+2.43%
2025-06-20,34.18,+1.09%
2025-06-18,34.33,+0.76%
2025-06-17,34.33,+0.79%
2025-06-16,34.67,+3.03%
2025-06-13,34.19,+2.03%
2025-06-12,34.63,+3.93%
2025-06-11,34.55,+5.08%
2025-06-10,34.68,+6.22%
2025-06-09,34.45,+5.93%
2025-06-06,34.39,+5.62%
2025-06-05,34.05,+4.51%
2025-06-04,34.33,+7.52%
2025-06-03,34.24,+7.54%
2025-06-02,33.97,+7.06%
2025-05-30,33.73,+6.30%
2025-05-29,33.76,+5.27%
2025-05-28,33.69,+4.30%
2025-05-27,33.85,+5.16%
2025-05-23,33.06,+3.73%
2025-05-22,33.37,+4.25%
2025-05-21,33.32,+4.03%
2025-05-20,33.77,+5.66%
2025-05-19,33.90,+6.81%
2025-05-16,33.87,+6.64%
2025-05-15,33.72,+5.94%
2025-05-14,33.69,+7.43%
2025-05-13,33.50,+7.54%
2025-05-12,32.98,+6.11%
2025-05-09,31.71,+2.29%
2025-05-08,31.71,+2.46%
2025-05-07,31.40,+1.42%
2025-05-06,31.28,+1.00%
2025-05-05,31.56,+3.07%
2025-05-02,31.77,+5.83%
2025-05-01,31.27,+5.50%
2025-04-30,30.93,+3.62%
2025-04-29,30.89,+1.48%
2025-04-28,30.70,+1.22%
2025-04-25,30.71,+2.95%
2025-04-24,30.37,+1.23%
2025-04-23,29.54,-1.20%
2025-04-22,28.88,-1.97%
2025-04-21,28.14,-3.50%
2025-04-17,28.86,-3.61%
2025-04-16,28.86,-4.82%
2025-04-15,29.76,-1.81%
2025-04-14,29.71,-3.57%
2025-04-11,29.54,-5.71%
2025-04-10,28.99,-5.97%
2025-04-09,30.26,-2.70%
2025-04-08,27.01,-12.81%
2025-04-07,27.55,-11.10%
2025-04-04,27.50,-10.13%
2025-04-03,29.27,-5.82%
2025-04-02,30.95,-0.23%
2025-04-01,30.72,-1.88%
2025-03-31,30.47,-6.04%
2025-03-28,32.63,+0.62%
2025-03-27,33.51,+3.17%
2025-03-26,33.71,+4.17%
2025-03-25,34.34,+5.76%
2025-03-24,34.15,+4.82%
2025-03-21,33.43,+2.70%
2025-03-20,33.30,+2.75%
2025-03-19,33.40,+4.24%
2025-03-18,32.97,+3.19%
2025-03-17,33.53,+5.97%
2025-03-14,33.35,+4.19%
2025-03-13,32.54,+1.37%
2025-03-12,33.17,+2.47%
2025-03-11,32.79,+2.79%
2025-03-10,32.89,+2.75%
2025-03-07,34.19,+5.17%
2025-03-06,33.94,+6.03%
2025-03-05,34.91,+9.78%
2025-03-04,34.45,+6.39%
2025-03-03,34.57,+6.30%
2025-02-28,35.35,+11.30%
2025-02-27,34.78,+8.93%
2025-02-26,35.77,+12.27%
2025-02-25,35.69,+11.99%
2025-02-24,36.14,+13.40%
2025-02-21,36.58,+17.77%
2025-02-20,37.35,+19.83%
2025-02-19,37.53,+19.45%
2025-02-18,37.51,+19.38%
2025-02-14,37.43,+18.30%
2025-02-13,37.29,+19.25%
2025-02-12,36.76,+15.71%
2025-02-11,36.72,+15.07%
2025-02-10,36.82,+15.39%
2025-02-07,36.37,+15.28%
2025-02-06,36.85,+18.03%
2025-02-05,36.66,+17.16%
2025-02-04,36.50,+16.43%
2025-02-03,36.05,+14.99%
2025-01-31,36.35,+19.38%
2025-01-30,36.40,+17.23%
2025-01-29,36.24,+15.93%
2025-01-28,36.33,+17.38%
2025-01-27,35.76,+15.54%
2025-01-24,36.85,+18.53%
2025-01-23,37.07,+19.89%
2025-01-22,36.99,+20.14%
2025-01-21,36.50,+18.66%
2025-01-17,36.29,+22.02%
2025-01-16,35.70,+19.40%
2025-01-15,35.94,+20.16%
2025-01-14,35.13,+17.45%
2025-01-13,35.18,+17.62%
2025-01-10,35.28,+18.23%
2025-01-08,35.85,+21.20%
2025-01-07,35.83,+23.68%
2025-01-06,36.49,+25.96%
2025-01-03,36.09,+24.11%
2025-01-02,35.50,+20.79%
2024-12-31,35.56,+2.98%
2024-12-30,37.18,+7.67%
2024-12-27,37.67,+8.56%
2024-12-26,38.18,+10.22%
2024-12-24,38.24,+11.07%
2024-12-23,37.72,+9.56%
2024-12-20,37.34,+9.92%
2024-12-19,37.03,+7.33%
2024-12-18,37.20,+8.36%
2024-12-17,38.59,+13.13%
2024-12-16,38.76,+13.63%
2024-12-13,38.21,+12.42%
2024-12-12,37.92,+12.99%
2024-12-11,38.18,+14.69%
2024-12-10,37.48,+13.54%
2024-12-09,37.61,+13.94%
2024-12-06,37.93,+17.07%
2024-12-05,37.58,+15.35%
2024-12-04,37.70,+15.96%
2024-12-03,37.24,+13.43%
2024-12-02,37.13,+13.10%
2024-11-29,36.71,+11.89%
2024-11-27,36.39,+11.08%
2024-11-26,36.70,+11.89%
2024-11-25,36.49,+11.25%
2024-11-22,36.44,+10.96%
2024-11-21,36.38,+11.25%
2024-11-20,36.25,+10.22%
2024-11-19,36.28,+11.63%
2024-11-18,36.03,+10.86%
2024-11-15,35.77,+10.20%
2024-11-14,36.66,+12.97%
2024-11-13,36.90,+16.15%
2024-11-12,36.96,+15.97%
2024-11-11,37.02,+16.16%
2024-11-08,37.04,+17.85%
2024-11-07,37.02,+17.94%
2024-11-06,36.45,+17.20%
2024-11-05,35.48,+14.49%
2024-11-04,35.02,+13.00%
2024-11-01,35.14,+16.74%
2024-10-31,34.89,+17.99%
2024-10-30,35.76,+21.55%
2024-10-29,36.05,+23.88%
2024-10-28,35.70,+22.68%
2024-10-25,35.70,+20.98%
2024-10-24,35.49,+17.28%
2024-10-23,35.20,+17.45%
2024-10-22,35.77,+19.71%
2024-10-21,35.72,+19.54%
2024-10-18,35.65,+16.50%
2024-10-17,35.42,+14.15%
2024-10-16,35.39,+13.65%
2024-10-15,35.36,+14.92%
2024-10-14,35.85,+16.51%
2024-10-11,35.56,+13.68%
2024-10-10,35.51,+14.36%
2024-10-09,35.55,+15.12%
2024-10-08,35.27,+14.77%
2024-10-07,34.73,+13.02%
2024-10-04,35.14,+15.90%
2024-10-03,34.72,+16.16%
2024-10-02,34.74,+14.09%
2024-10-01,34.69,+9.71%
2024-09-30,35.19,+11.29%
2024-09-27,33.98,+8.46%
2024-09-26,34.16,+9.31%
2024-09-25,33.92,+6.90%
2024-09-24,33.87,+7.22%
2024-09-23,33.72,+6.74%
2024-09-20,33.61,+4.51%
2024-09-19,33.70,+3.25%
2024-09-18,32.85,+0.43%
2024-09-17,33.00,+1.04%
2024-09-16,32.99,+1.01%
2024-09-13,33.14,+0.49%
2024-09-12,32.99,+0.43%
2024-09-11,32.67,-1.66%
2024-09-10,31.98,-2.59%
2024-09-09,31.69,-3.47%
2024-09-06,31.29,-5.27%
2024-09-05,32.15,-3.51%
2024-09-04,32.14,-3.43%
2024-09-03,32.20,-3.25%
2024-08-30,33.24,+0.06%
2024-08-29,32.82,-0.67%
2024-08-28,32.86,+1.61%
2024-08-27,33.26,+3.61%
2024-08-26,33.15,+3.27%
2024-08-23,33.49,+2.89%
2024-08-22,33.10,+3.34%
2024-08-21,33.67,+4.92%
2024-08-20,33.49,+6.08%
2024-08-19,33.57,+6.34%
2024-08-16,33.13,+3.66%
2024-08-15,33.10,+2.45%
2024-08-14,32.31,-1.10%
2024-08-13,32.28,-0.03%
2024-08-12,31.49,-2.48%
2024-08-09,31.44,-3.11%
2024-08-08,31.27,-4.69%
2024-08-07,30.35,-8.31%
2024-08-06,30.70,-6.46%
2024-08-05,30.39,-7.40%
2024-08-02,31.32,-5.15%
2024-08-01,32.08,-5.00%
2024-07-31,32.88,-2.87%
2024-07-30,31.92,-5.67%
2024-07-29,32.37,-4.34%
2024-07-26,32.31,-2.97%
2024-07-25,31.98,-4.34%
2024-07-24,32.32,-2.62%
2024-07-23,33.55,+1.24%
2024-07-22,33.67,+1.60%
2024-07-19,33.16,-2.47%
2024-07-18,33.47,-1.67%
2024-07-17,33.63,-0.39%
2024-07-16,34.64,+3.59%
2024-07-15,34.62,+3.53%
2024-07-12,34.53,+4.99%
2024-07-11,34.33,+5.70%
2024-07-10,35.11,+8.60%
2024-07-09,34.74,+7.52%
2024-07-08,34.71,+7.43%
2024-07-05,34.63,+6.00%
2024-07-03,34.28,+4.90%
2024-07-02,33.99,+4.23%
2024-07-01,33.65,+3.19%
2024-06-28,33.69,-3.55%
2024-06-27,33.87,-2.92%
2024-06-26,33.80,-1.43%
2024-06-25,33.72,-2.99%
2024-06-24,33.33,-4.11%
2024-06-21,33.72,-2.85%
2024-06-20,33.81,-3.89%
2024-06-18,34.07,-3.24%
2024-06-17,34.06,-3.27%
2024-06-14,33.65,-3.94%
2024-06-13,33.51,-3.68%
2024-06-12,33.32,-3.45%
2024-06-11,32.88,-3.07%
2024-06-10,32.65,-3.74%
2024-06-07,32.52,-2.61%
2024-06-06,32.56,-4.21%
2024-06-05,32.58,-4.12%
2024-06-04,31.93,-5.98%
2024-06-03,31.84,-6.24%
2024-05-31,31.73,-4.66%
2024-05-30,31.73,-5.31%
2024-05-29,32.07,-3.92%
2024-05-28,32.30,-3.24%
2024-05-24,32.19,+1.35%
2024-05-23,31.87,-0.16%
2024-05-22,32.01,-0.99%
2024-05-21,32.03,-0.59%
2024-05-20,31.96,-0.81%
2024-05-17,31.74,+0.06%
2024-05-16,31.76,+1.34%
2024-05-15,31.83,+1.66%
2024-05-14,31.36,+0.71%
2024-05-13,31.15,+0.03%
2024-05-10,31.08,-0.26%
2024-05-09,31.00,+0.58%
2024-05-08,30.95,-0.26%
2024-05-07,30.96,+0.03%
2024-05-06,30.97,+0.06%
2024-05-03,30.62,+0.66%
2024-05-02,30.02,-1.93%
2024-05-01,29.64,-4.05%
2024-04-30,29.85,-3.46%
2024-04-29,30.44,-1.55%
2024-04-26,30.33,+1.44%
2024-04-25,29.83,+0.40%
2024-04-24,30.00,-0.92%
2024-04-23,29.90,-1.48%
2024-04-22,29.46,-2.93%
2024-04-19,29.16,-4.58%
2024-04-18,29.77,-2.59%
2024-04-17,29.94,-2.00%
2024-04-16,30.32,-0.69%
2024-04-15,30.31,-0.72%
2024-04-12,30.81,+2.73%
2024-04-11,31.33,+3.54%
2024-04-10,30.83,+1.18%
2024-04-09,31.10,+2.00%
2024-04-08,30.98,+1.61%
2024-04-05,30.99,+2.38%
2024-04-04,30.60,+0.07%
2024-04-03,31.08,+1.27%
2024-04-02,31.02,+0.81%
2024-04-01,31.31,+1.75%
2024-03-28,32.43,+9.75%
2024-03-27,32.48,+9.40%
2024-03-26,32.36,+8.19%
2024-03-25,32.47,+8.56%
2024-03-22,32.58,+10.63%
2024-03-21,32.55,+9.05%
2024-03-20,32.41,+10.13%
2024-03-19,32.04,+9.24%
2024-03-18,31.95,+8.93%
2024-03-15,31.64,+10.21%
2024-03-14,32.01,+12.00%
2024-03-13,32.10,+14.89%
2024-03-12,32.37,+16.77%
2024-03-11,31.90,+15.08%
2024-03-08,32.01,+11.84%
2024-03-07,32.51,+14.19%
2024-03-06,32.01,+11.03%
2024-03-05,31.80,+10.42%
2024-03-04,32.38,+12.43%
2024-03-01,32.52,+16.27%
2024-02-29,32.06,+14.62%
2024-02-28,31.76,+12.54%
2024-02-27,31.93,+13.03%
2024-02-26,31.86,+13.58%
2024-02-23,31.87,+11.67%
2024-02-22,31.99,+13.16%
2024-02-21,31.06,+9.91%
2024-02-20,31.17,+7.63%
2024-02-16,31.42,+7.79%
2024-02-15,31.71,+6.66%
2024-02-14,31.64,+7.25%
2024-02-13,31.27,+6.76%
2024-02-12,31.77,+10.20%
2024-02-09,31.91,+10.00%
2024-02-08,31.60,+7.92%
2024-02-07,31.55,+5.80%
2024-02-06,31.22,+6.92%
2024-02-05,31.29,+6.21%
2024-02-02,31.35,+4.50%
2024-02-01,30.82,+6.39%
2024-01-31,30.45,+7.37%
2024-01-30,31.05,+11.25%
2024-01-29,31.26,+9.65%
2024-01-26,30.95,+9.60%
2024-01-25,31.12,+12.43%
2024-01-24,31.09,+12.00%
2024-01-23,30.92,+11.14%
2024-01-22,30.79,+13.12%
2024-01-19,30.76,+16.21%
2024-01-18,30.17,+12.87%
2024-01-17,29.74,+9.82%
2024-01-16,29.90,+10.58%
2024-01-12,29.91,+11.40%
2024-01-11,29.89,+11.86%
2024-01-10,29.84,+13.63%
2024-01-09,29.63,+13.83%
2024-01-08,29.58,+14.34%
2024-01-05,28.97,+15.10%
2024-01-04,28.93,+13.14%
2024-01-03,29.08,+14.26%
2024-01-02,29.39,+22.87%
2023-12-29,34.53,+44.24%
2023-12-28,34.68,+48.52%
2023-12-27,34.70,+46.66%
2023-12-26,34.64,+44.21%
2023-12-22,34.43,+43.76%
2023-12-21,34.39,+40.02%
2023-12-20,33.97,+40.31%
2023-12-19,34.50,+42.39%
2023-12-18,34.33,+39.67%
2023-12-15,34.11,+37.54%
2023-12-14,33.94,+32.22%
2023-12-13,33.99,+31.39%
2023-12-12,33.56,+31.14%
2023-12-11,33.29,+31.69%
2023-12-08,33.01,+29.76%
2023-12-07,32.88,+30.79%
2023-12-06,32.40,+28.32%
2023-12-05,32.58,+26.43%
2023-12-04,32.51,+23.99%
2023-12-01,32.83,+24.69%
2023-11-30,32.73,+24.45%
2023-11-29,32.81,+30.46%
2023-11-28,32.86,+29.73%
2023-11-27,32.76,+27.47%
2023-11-24,32.80,+26.74%
2023-11-22,32.84,+28.13%
2023-11-21,32.70,+29.45%
2023-11-20,32.89,+28.83%
2023-11-17,32.50,+27.30%
2023-11-16,32.49,+27.01%
2023-11-15,32.46,+25.09%
2023-11-14,32.45,+26.86%
2023-11-13,31.77,+22.95%
2023-11-10,31.87,+25.62%
2023-11-09,31.17,+32.02%
2023-11-08,31.43,+29.98%
2023-11-07,31.39,+30.79%
2023-11-06,31.10,+31.00%
2023-11-03,30.99,+32.61%
2023-11-02,30.62,+28.44%
2023-11-01,30.10,+21.96%
2023-10-31,29.57,+18.56%
2023-10-30,29.42,+16.56%
2023-10-27,29.10,+18.92%
2023-10-26,28.96,+16.12%
2023-10-25,29.51,+15.68%
2023-10-24,30.26,+21.09%
2023-10-23,29.97,+21.19%
2023-10-20,29.88,+23.73%
2023-10-19,30.34,+25.01%
2023-10-18,30.60,+25.56%
2023-10-17,31.03,+28.28%
2023-10-16,31.14,+33.19%
2023-10-13,30.77,+27.57%
2023-10-12,31.16,+32.15%
2023-10-11,31.28,+32.60%
2023-10-10,31.05,+29.97%
2023-10-09,30.88,+27.92%
2023-10-06,30.73,+22.38%
2023-10-05,30.22,+19.45%
2023-10-04,30.32,+19.75%
2023-10-03,29.89,+21.75%
2023-10-02,30.45,+26.93%
2023-09-29,31.62,+36.88%
2023-09-28,31.59,+32.84%
2023-09-27,31.33,+34.35%
2023-09-26,31.25,+34.18%
2023-09-25,31.73,+35.60%
2023-09-22,31.59,+32.73%
2023-09-21,31.57,+31.10%
2023-09-20,32.16,+31.16%
2023-09-19,32.64,+31.99%
2023-09-18,32.71,+33.29%
2023-09-15,32.66,+32.33%
2023-09-14,33.25,+32.42%
2023-09-13,32.98,+32.45%
2023-09-12,32.85,+24.62%
2023-09-11,33.22,+27.52%
2023-09-08,32.83,+28.80%
2023-09-07,32.78,+29.21%
2023-09-06,33.03,+32.92%
2023-09-05,33.32,+33.12%
2023-09-01,33.28,+31.02%
2023-08-31,33.30,+31.15%
2023-08-30,33.22,+30.07%
2023-08-29,33.04,+27.91%
2023-08-28,32.34,+24.00%
2023-08-25,32.10,+18.06%
2023-08-24,31.83,+19.08%
2023-08-23,32.55,+22.14%
2023-08-22,32.03,+20.10%
2023-08-21,32.09,+17.12%
2023-08-18,31.57,+12.99%
2023-08-17,31.62,+13.46%
2023-08-16,31.96,+13.29%
2023-08-15,32.31,+14.25%
2023-08-14,32.67,+16.39%
2023-08-11,32.29,+17.42%
2023-08-10,32.50,+17.41%
2023-08-09,32.45,+20.59%
2023-08-08,32.81,+20.49%
2023-08-07,33.10,+21.11%
2023-08-04,32.82,+19.17%
2023-08-03,32.99,+20.31%
2023-08-02,33.02,+23.72%
2023-08-01,33.77,+26.15%
2023-07-31,33.85,+26.35%
2023-07-28,33.84,+28.62%
2023-07-27,33.23,+27.46%
2023-07-26,33.30,+33.15%
2023-07-25,33.43,+31.05%
2023-07-24,33.19,+29.40%
2023-07-21,33.14,+26.92%
2023-07-20,33.23,+29.10%
2023-07-19,34.00,+34.18%
2023-07-18,34.04,+38.54%
2023-07-17,33.76,+36.18%
2023-07-14,33.44,+37.33%
2023-07-13,33.46,+37.87%
2023-07-12,32.89,+35.35%
2023-07-11,32.48,+32.36%
2023-07-10,32.33,+28.86%
2023-07-07,32.31,+28.98%
2023-07-06,32.42,+32.22%
2023-07-05,32.67,+34.06%
2023-07-03,32.68,+36.34%
2023-06-30,32.61,+37.02%
2023-06-29,34.88,+55.30%
2023-06-28,34.93,+55.80%
2023-06-27,34.89,+50.78%
2023-06-26,34.29,+47.04%
2023-06-23,34.76,+54.21%
2023-06-22,35.12,+58.13%
2023-06-21,34.71,+56.00%
2023-06-20,35.18,+62.05%
2023-06-19,35.21,+62.18%
2023-06-18,35.21,+62.18%
2023-06-16,35.21,+64.23%
2023-06-15,35.45,+58.68%
2023-06-14,35.03,+60.76%
2023-06-13,34.79,+59.95%
2023-06-12,34.51,+51.36%
2023-06-11,33.92,+48.77%
2023-06-09,33.92,+43.49%
2023-06-08,33.81,+39.14%
2023-06-07,33.39,+36.34%
2023-06-06,33.99,+40.05%
2023-06-05,33.98,+40.53%
2023-06-04,33.96,+40.45%
2023-06-02,33.96,+36.71%
2023-06-01,33.71,+39.41%
2023-05-31,33.28,+36.62%
2023-05-30,33.51,+37.17%
2023-05-29,33.38,+36.64%
2023-05-28,33.38,+36.64%
2023-05-26,33.38,+41.14%
2023-05-25,32.54,+41.42%
2023-05-24,31.76,+40.04%
2023-05-23,31.92,+37.65%
2023-05-22,32.33,+41.80%
2023-05-21,32.22,+41.32%
2023-05-19,32.22,+40.82%
2023-05-18,32.30,+40.56%
2023-05-17,31.72,+31.02%
2023-05-16,31.34,+32.85%
2023-05-15,31.31,+31.17%
2023-05-14,31.14,+30.46%
2023-05-12,31.14,+35.33%
2023-05-11,31.26,+35.56%
2023-05-10,31.16,+30.98%
2023-05-09,30.82,+31.26%
2023-05-08,31.03,+26.86%
2023-05-05,30.95,+25.00%
2023-05-04,30.31,+16.22%
2023-05-03,30.42,+20.62%
2023-05-02,30.61,+21.52%
2023-05-01,30.89,+24.71%
2023-04-28,30.92,+19.29%
2023-04-27,30.72,+22.63%
2023-04-26,29.90,+19.31%
2023-04-25,29.71,+13.96%
2023-04-24,30.28,+17.68%
2023-04-21,30.35,+14.83%
2023-04-20,30.32,+12.42%
2023-04-19,30.56,+11.61%
2023-04-18,30.56,+14.03%
2023-04-17,30.55,+14.12%
2023-04-14,30.53,+14.05%
2023-04-13,30.60,+11.72%
2023-04-12,29.99,+11.65%
2023-04-11,30.26,+12.28%
2023-04-10,30.47,+10.40%
2023-04-06,30.49,+9.17%
2023-04-05,30.27,+6.02%
2023-04-04,30.58,+4.69%
2023-04-03,30.69,+7.20%
2023-03-31,30.77,+7.63%
2023-03-30,30.37,+6.08%
2023-03-29,30.10,+3.97%
2023-03-28,29.55,+3.79%
2023-03-27,29.69,+5.92%
2023-03-24,29.91,+6.63%
2023-03-23,29.83,+8.71%
2023-03-22,29.45,+5.78%
2023-03-21,29.85,+9.30%
2023-03-20,29.43,+7.45%
2023-03-17,29.33,+9.36%
2023-03-16,29.48,+11.20%
2023-03-15,28.71,+12.28%
2023-03-14,28.58,+15.33%
2023-03-13,27.94,+10.57%
2023-03-10,27.72,+7.36%
2023-03-09,28.11,+7.70%
2023-03-08,28.62,+13.57%
2023-03-07,28.47,+12.53%
2023-03-06,28.83,+9.66%
2023-03-03,28.80,+8.03%
2023-03-02,28.22,+4.29%
2023-03-01,27.97,+5.11%
2023-02-28,28.22,+4.33%
2023-02-27,28.25,+4.82%
2023-02-24,28.05,+5.65%
